label,noise,success,iterations,similarity
a,0.06,True,0,1.0
a,0.06,True,37,1.0
a,0.06,True,56,1.0
a,0.06,True,29,1.0
a,0.06,True,81,1.0
a,0.06,True,10,1.0
a,0.06,True,31,1.0
a,0.06,True,19,1.0
a,0.06,True,10,1.0
a,0.06,True,0,1.0
a,0.06,True,44,1.0
a,0.06,True,90,1.0
a,0.06,True,47,1.0
a,0.06,True,1,1.0
a,0.06,True,0,1.0
a,0.06,True,45,1.0
a,0.06,True,22,1.0
a,0.06,True,20,1.0
a,0.06,True,51,1.0
a,0.06,True,0,1.0
a,0.06,True,120,1.0
a,0.06,True,56,1.0
a,0.06,True,36,1.0
a,0.06,True,0,1.0
a,0.06,True,16,1.0
a,0.06,True,21,1.0
a,0.06,True,9,1.0
a,0.06,True,0,1.0
a,0.06,True,40,1.0
a,0.06,True,8,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,11,1.0
a,0.06,True,88,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,29,1.0
a,0.06,True,2,1.0
a,0.06,True,19,1.0
a,0.06,True,87,1.0
a,0.06,True,6,1.0
a,0.06,True,8,1.0
a,0.06,True,25,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,23,1.0
a,0.06,True,24,1.0
a,0.06,True,32,1.0
a,0.06,True,4,1.0
a,0.06,True,22,1.0
a,0.06,True,11,1.0
a,0.06,True,127,1.0
a,0.06,True,39,1.0
a,0.06,True,95,1.0
a,0.06,True,27,1.0
a,0.06,True,33,1.0
a,0.06,True,22,1.0
a,0.06,True,24,1.0
a,0.06,True,26,1.0
a,0.06,True,0,1.0
a,0.06,True,14,1.0
a,0.06,True,25,1.0
a,0.06,True,118,1.0
a,0.06,True,26,1.0
a,0.06,True,20,1.0
a,0.06,True,12,1.0
a,0.06,True,0,1.0
a,0.06,True,41,1.0
a,0.06,True,34,1.0
a,0.06,True,88,1.0
a,0.06,True,2,1.0
a,0.06,True,32,1.0
a,0.06,True,58,1.0
a,0.06,True,0,1.0
a,0.06,True,31,1.0
a,0.06,True,16,1.0
a,0.06,True,42,1.0
a,0.06,True,4,1.0
a,0.06,True,6,1.0
a,0.06,True,7,1.0
a,0.06,True,39,1.0
a,0.06,True,3,1.0
a,0.06,True,98,1.0
a,0.06,True,44,1.0
a,0.07,True,25,1.0
a,0.07,True,10,1.0
a,0.07,True,1,1.0
a,0.07,True,0,1.0
a,0.07,True,24,1.0
a,0.07,True,0,1.0
a,0.07,True,77,1.0
a,0.07,True,10,1.0
a,0.07,True,5,1.0
a,0.07,True,0,1.0
a,0.07,True,12,1.0
a,0.07,True,22,1.0
a,0.07,True,3,1.0
a,0.07,True,37,1.0
a,0.07,True,43,1.0
a,0.07,True,79,1.0
a,0.07,True,61,1.0
a,0.07,True,19,1.0
a,0.07,True,10,1.0
a,0.07,True,30,1.0
a,0.07,True,25,1.0
a,0.07,True,25,1.0
a,0.07,True,67,1.0
a,0.07,True,24,1.0
a,0.07,True,16,1.0
a,0.07,True,44,1.0
a,0.07,True,8,1.0
a,0.07,True,35,1.0
a,0.07,True,49,1.0
a,0.07,True,0,1.0
a,0.07,True,0,1.0
a,0.07,True,39,1.0
a,0.07,True,0,1.0
a,0.07,True,30,1.0
a,0.07,True,44,1.0
a,0.07,True,11,1.0
a,0.07,True,3,1.0
a,0.07,True,0,1.0
a,0.07,True,10,1.0
a,0.07,True,23,1.0
a,0.07,True,0,1.0
a,0.07,True,0,1.0
a,0.07,True,28,1.0
a,0.07,True,10,1.0
a,0.07,True,0,1.0
a,0.07,True,148,1.0
a,0.07,True,0,1.0
a,0.07,True,29,1.0
a,0.07,True,9,1.0
a,0.07,True,81,1.0
a,0.07,True,116,1.0
a,0.07,True,0,1.0
a,0.07,True,29,1.0
a,0.07,True,0,1.0
a,0.07,True,74,1.0
a,0.07,True,3,1.0
a,0.07,True,25,1.0
a,0.07,True,13,1.0
a,0.07,True,13,1.0
a,0.07,True,75,1.0
a,0.07,True,9,1.0
a,0.07,True,40,1.0
a,0.07,True,15,1.0
a,0.07,True,43,1.0
a,0.07,True,10,1.0
a,0.07,True,65,1.0
a,0.07,True,25,1.0
a,0.07,True,8,1.0
a,0.07,True,105,1.0
a,0.07,True,42,1.0
a,0.07,True,60,1.0
a,0.07,True,2,1.0
a,0.07,True,27,1.0
a,0.07,True,23,1.0
a,0.07,True,62,1.0
a,0.07,True,9,1.0
a,0.07,True,8,1.0
a,0.07,True,38,1.0
a,0.07,True,33,1.0
a,0.07,True,6,1.0
a,0.07,True,23,1.0
a,0.07,True,0,1.0
a,0.07,True,18,1.0
a,0.07,True,31,1.0
a,0.07,True,11,1.0
a,0.07,True,112,1.0
a,0.07,True,5,1.0
a,0.07,True,20,1.0
a,0.07,True,6,1.0
a,0.07,True,0,1.0
a,0.07,True,20,1.0
a,0.07,True,17,1.0
a,0.07,True,4,1.0
a,0.07,True,0,1.0
a,0.07,True,67,1.0
a,0.07,True,0,1.0
a,0.07,True,46,1.0
a,0.07,True,42,1.0
a,0.07,True,20,1.0
a,0.07,True,20,1.0
a,0.07,True,15,1.0
a,0.07,True,91,1.0
a,0.07,True,10,1.0
a,0.07,True,20,1.0
a,0.07,True,32,1.0
a,0.07,True,19,1.0
a,0.07,True,0,1.0
a,0.07,True,7,1.0
a,0.07,True,28,1.0
a,0.07,True,1,1.0
a,0.07,True,31,1.0
a,0.07,True,4,1.0
a,0.07,True,215,1.0
a,0.07,True,47,1.0
a,0.07,True,0,1.0
a,0.07,True,20,1.0
a,0.07,True,19,1.0
a,0.07,True,0,1.0
a,0.07,True,28,1.0
a,0.07,True,26,1.0
a,0.07,True,106,1.0
a,0.07,True,6,1.0
a,0.07,True,12,1.0
a,0.07,True,38,1.0
a,0.07,True,46,1.0
a,0.07,True,20,1.0
a,0.07,True,33,1.0
a,0.07,True,23,1.0
a,0.07,True,36,1.0
a,0.07,True,9,1.0
a,0.07,True,19,1.0
a,0.07,True,15,1.0
a,0.07,True,51,1.0
a,0.07,True,37,1.0
a,0.07,True,0,1.0
a,0.07,True,0,1.0
a,0.07,True,39,1.0
a,0.07,True,18,1.0
a,0.07,True,50,1.0
a,0.07,True,2,1.0
a,0.07,True,25,1.0
a,0.07,True,44,1.0
a,0.07,True,0,1.0
a,0.07,True,46,1.0
a,0.07,True,43,1.0
a,0.07,True,30,1.0
a,0.07,True,26,1.0
a,0.07,True,46,1.0
a,0.07,True,102,1.0
a,0.07,True,66,1.0
a,0.07,True,45,1.0
a,0.07,True,13,1.0
a,0.07,True,7,1.0
a,0.07,True,37,1.0
a,0.07,True,35,1.0
a,0.07,True,44,1.0
a,0.07,True,25,1.0
a,0.07,True,39,1.0
a,0.07,True,17,1.0
a,0.07,True,0,1.0
a,0.07,True,14,1.0
a,0.07,True,39,1.0
a,0.07,True,0,1.0
a,0.07,True,7,1.0
a,0.07,True,30,1.0
a,0.07,True,35,1.0
a,0.07,True,30,1.0
a,0.07,True,37,1.0
a,0.07,True,65,1.0
a,0.07,True,53,1.0
a,0.07,True,23,1.0
a,0.07,True,6,1.0
a,0.07,True,0,1.0
a,0.07,True,148,1.0
a,0.07,True,0,1.0
a,0.07,True,73,1.0
a,0.07,True,21,1.0
a,0.07,True,0,1.0
a,0.07,True,81,1.0
a,0.07,True,22,1.0
a,0.07,True,24,1.0
a,0.07,True,31,1.0
a,0.07,True,38,1.0
a,0.07,True,6,1.0
a,0.07,True,29,1.0
a,0.07,True,0,1.0
a,0.07,True,76,1.0
